still run 2.1G-> too large checkpt72 [128,3000,3000,3000,10] 50 0.02 15 1 0.2
2.1G -> too large checkpt73 [128,3000,3000,3000,10] 50 0.02 30 1 0.2
2.5G -> too large checkpt74 [128,3000,3000,3000,10] 100 0.02 15 1 0.2
2.1G -> too large checkpt75 [128,3000,3000,3000,10] 150 0.02 15 1 0.2
90% checkpt76 [128,1500,1500,1500,10] 100 0.02 15 1 0.2
91% checkpt77 [128,1500,1500,1500,10] 150 0.02 15 1 0.2
92% checkpt78 [128,1000,1000,1000,10] 100 0.02 15 1 0.2
89%->91% checkpt79 [128,1000,1000,1000,10] 150->200->300 0.02 15 1 0.2
FIN
